item_code,eod_date,price_open,price_high,price_low,count_trade,price_close
5930,2018-09-22,46550,47550,46550,14387027,47400
5930,2018-09-21,46850,47600,46400,13536966,47250
5930,2018-09-20,46000,46200,45700,9367454,46150
5930,2018-09-19,44950,45900,44700,9987090,45500
5930,2018-09-18,45550,45800,44900,8123384,45150
5930,2018-09-17,45000,45850,44900,12446344,45850
5930,2018-09-14,44550,44750,44000,18277942,44050
5930,2018-09-13,44900,45100,44500,12995269,44550
5930,2018-09-12,45550,45900,45050,9865790,45050
5930,2018-09-11,45450,45550,45000,9979838,45500
5930,2018-09-10,44500,45200,44400,18285508,44900
5930,2018-09-07,46200,46400,45800,9040553,46100
5930,2018-09-06,47300,47450,46400,9139998,46600
5930,2018-09-05,47550,47800,47200,6791255,47650
5930,2018-09-04,48200,48300,47300,8595084,47450
5930,2018-09-03,47100,48450,47000,13577454,48450
5930,2018-08-31,46950,47950,46700,12193231,47650
5930,2018-08-30,46750,46800,46400,5572374,46800
5930,2018-08-29,46800,46950,46300,7365976,46550
5930,2018-08-28,46100,46550,46000,5263782,46300
5930,2018-08-27,45900,46400,45550,6582535,46150
5930,2018-08-24,46150,46200,45700,6730918,46200
5930,2018-08-23,45150,46200,44900,11641656,46100
5930,2018-08-22,43700,44900,43700,9520270,44800
5930,2018-08-21,43500,44200,43500,7289124,43850
5930,2018-08-20,44050,44400,44050,6808747,44100
5930,2018-08-17,43800,44650,43700,10088229,44250
5930,2018-08-16,44850,45400,44850,6365450,45150
5930,2018-08-14,44950,45100,44650,9803831,45050
5930,2018-08-13,46150,46400,44850,16670643,45400
5930,2018-08-10,47000,47050,46450,12010886,46900
5930,2018-08-09,47000,47000,46550,6429338,46800
5930,2018-08-08,46300,46750,45900,9058174,46700
5930,2018-08-07,46150,46150,45750,6771979,45800
5930,2018-08-06,45850,45900,45450,8274944,45750
5930,2018-08-03,46550,46800,45500,8560924,45550
5930,2018-08-02,46050,46850,46050,7484499,46550
5930,2018-08-01,46200,46450,46000,8033607,46250
5930,2018-07-31,46550,46800,46350,5723035,46500
5930,2018-07-30,46450,47000,46450,4762460,46900
5930,2018-07-27,46100,47000,46000,7374946,46900
5930,2018-07-26,46250,46550,45900,7222471,46150
5930,2018-07-25,46350,46600,45950,8261363,46150
5930,2018-07-24,47100,47200,46150,10823782,46500
5930,2018-07-23,47000,47600,46700,10474547,47450
5930,2018-07-20,47050,47200,46600,9880128,46900
5930,2018-07-19,46700,47200,46450,10952645,46550
5930,2018-07-18,46150,46200,45600,8892953,45850
5930,2018-07-17,46800,46800,46000,7678719,46050
5930,2018-07-16,45800,46500,45750,11543389,46500
5930,2018-07-13,45900,46250,45450,11828104,45500
5930,2018-07-12,46400,46450,45400,11224077,46000
5930,2018-07-11,46200,46550,46100,10528665,46300
5930,2018-07-10,45500,46100,45200,11602464,45600
5930,2018-07-09,45500,45850,44650,17843706,44900
5930,2018-07-06,46100,46550,45600,7039773,45950
5930,2018-07-05,46700,47050,46050,8776763,46250
5930,2018-07-04,45750,46450,45750,10959655,46150
5930,2018-07-03,46500,47150,45500,13112253,45550
5930,2018-07-02,46250,47150,46200,14099635,46650
5930,2018-06-29,46850,47150,46600,12784800,46800
5930,2018-06-28,47450,48500,47000,15274752,47950
5930,2018-06-27,45900,47300,45900,11223166,47000
5930,2018-06-26,47050,47050,46150,10587711,46650
5930,2018-06-25,47000,47250,46200,10298006,47250
5930,2018-06-22,47900,47900,47050,10015541,47050
5930,2018-06-21,47450,47600,46850,12959316,47000
5930,2018-06-20,47200,47350,46500,15217971,47000
5930,2018-06-19,47600,47650,46200,16661870,46600
5930,2018-06-18,48500,48700,47650,17080892,47650
5930,2018-06-15,49000,49000,48200,20971729,48200
5930,2018-06-14,49700,49800,49250,12110569,49400
5930,2018-06-12,49750,50300,49350,10571312,49900
5930,2018-06-11,50200,50400,49600,16951706,49650
5930,2018-06-08,51800,51800,50500,13590016,50600
5930,2018-06-07,51100,51400,50400,9144100,51300
5930,2018-06-05,50800,51200,50700,9767171,51100
5930,2018-06-04,50500,51700,49950,13038499,51300
5930,2018-06-01,50400,50800,49850,63491109,50700
5930,2018-05-31,51300,51500,49100,20498098,49500
5930,2018-05-30,52200,52500,51300,8480437,51300
5930,2018-05-29,52500,53000,52000,9787820,52300
5930,2018-05-28,51000,52800,50800,15207266,52700
5930,2018-05-25,52000,52000,51100,8289275,51400
5930,2018-05-24,50600,52000,50400,17095490,51800
5930,2018-05-23,49650,50200,49100,9020998,50000
5930,2018-05-21,49900,49900,49350,6706570,49500
5930,2018-05-18,50300,50500,49400,10365440,49400
5930,2018-05-17,49200,50200,49150,15918683,49850
5930,2018-05-16,50200,50400,49100,18709146,49200
5930,2018-05-15,51000,51100,49900,14909272,50100
5930,2018-05-14,52000,52200,51200,10314997,51300
5930,2018-05-11,51700,51700,50600,13905263,51600
5930,2018-05-10,52600,52800,50900,16128305,50900
5930,2018-05-09,52600,53200,51900,23104720,52600
5930,2018-05-08,53000,53900,51800,39565391,51900
5930,2018-05-04,53380,53640,52440,30310800,53000
5930,2018-04-27,50420,52160,50400,18046550,52140
5930,2018-04-26,49220,50500,49220,16614600,50400
5930,2018-04-25,51840,51860,50080,15770300,50460
5930,2018-04-24,51000,52080,51000,11619000,51900
5930,2018-04-23,51800,52260,51420,11761000,51620
5930,2018-04-20,52000,52980,51540,17190550,52780
5930,2018-04-19,51000,51360,50580,13462600,51360
5930,2018-04-18,50240,50540,49820,7772000,49980
5930,2018-04-17,50320,50600,49860,7877450,50340
5930,2018-04-16,49600,50180,49400,10278300,49800
5930,2018-04-13,49440,49440,48880,12466250,49000
5930,2018-04-12,49900,49900,48600,10051100,48860
5930,2018-04-11,48540,49220,48040,10984350,48880
5930,2018-04-10,48260,49440,48200,9950400,49200
5930,2018-04-09,48000,48580,47400,12532700,48400
5930,2018-04-06,47400,49380,47340,13245600,48740
5930,2018-04-05,48160,48260,46920,12384200,46920
5930,2018-04-04,47880,48140,47280,12768250,48120
5930,2018-04-03,49000,49220,48500,7115650,48540
5930,2018-04-02,49080,49900,49080,7777100,49220
5930,2018-03-30,48700,49560,48320,10067000,49040
5930,2018-03-29,49100,49100,48340,15159450,48700
5930,2018-03-28,50320,50460,49080,11874000,49980
5930,2018-03-27,49420,50280,49040,10057750,50280
5930,2018-03-26,50340,50720,49600,14854950,49720
5930,2018-03-23,51060,51780,51040,8454100,51780
5930,2018-03-22,51780,51780,51060,8905200,51060
5930,2018-03-21,50700,51200,50100,8193250,51200
5930,2018-03-20,50620,51340,50440,8218850,50740
5930,2018-03-19,51220,51420,50240,12184900,51140
5930,2018-03-16,52000,52020,51020,8882450,51540
5930,2018-03-15,51020,52000,51000,12713250,51760
5930,2018-03-14,50760,51660,50360,20098700,51660
5930,2018-03-13,50560,50780,49580,8688950,49740
5930,2018-03-12,49440,50540,49240,14304400,49740
5930,2018-03-09,49200,49480,48080,19463650,49200
5930,2018-03-08,48200,48900,47220,21427050,48620
5930,2018-03-07,45920,47100,45820,15423350,47020
5930,2018-03-06,45820,46160,45080,14100950,45200
5930,2018-03-05,46580,46800,46000,13265500,46020
5930,2018-03-02,47380,48100,47000,15162350,47060
5930,2018-02-28,48360,48380,47380,9830550,47380
5930,2018-02-27,47280,47560,47080,9560650,47380
5930,2018-02-26,46760,47800,46760,12423300,47220
5930,2018-02-23,47260,47260,46760,8869950,46760
5930,2018-02-22,47280,47580,46840,12880200,47280
5930,2018-02-21,48040,48160,47220,10122600,47400
5930,2018-02-20,49800,49800,47860,15353450,48380
5930,2018-02-19,48080,49100,47940,18905900,49000
5930,2018-02-14,46200,48060,46200,18923250,47540
5930,2018-02-13,45100,46320,45040,15754950,45720
5930,2018-02-12,44440,45180,44420,17465000,44700
5930,2018-02-09,46120,46620,45980,23251050,46000
5930,2018-02-08,48240,48260,45800,23448050,45800
5930,2018-02-07,46600,47920,46580,19406450,47420
5930,2018-02-06,46500,48320,46000,28357900,47920
5930,2018-02-05,49380,49400,47700,29260350,47700
5930,2018-02-02,50620,50960,49720,27609450,49820
5930,2018-02-01,50020,54140,49600,64681300,49900
5930,2018-01-31,50440,50640,49780,12284550,49800
5930,2018-01-30,51200,51480,50900,11838800,51220
5930,2018-01-29,50500,50780,49840,10350100,50780
5930,2018-01-26,49220,50360,49160,11160350,50260
5930,2018-01-25,48860,49700,48560,9550500,49340
5930,2018-01-24,48660,49160,48300,13532700,49160
5930,2018-01-23,48640,48680,47960,12520900,48240
5930,2018-01-22,50380,50380,49040,9219950,49320
5930,2018-01-19,50020,50640,49820,14848850,49900
5930,2018-01-18,50020,50020,49060,11053050,49620
5930,2018-01-17,48760,50140,48620,20389650,50000
5930,2018-01-16,48800,48980,47920,10096000,48540
5930,2018-01-15,48240,48480,46760,27270450,48200
5930,2018-01-12,48200,49260,48020,25123800,48240
5930,2018-01-11,50500,50520,48640,18566800,48840
5930,2018-01-10,51460,51720,49980,18013600,50400
5930,2018-01-09,52400,52520,51500,8383650,52020
5930,2018-01-08,51300,52120,51200,9481150,52120
5930,2018-01-05,52120,52180,50640,11695450,51080
5930,2018-01-04,52540,52560,51420,10013500,51620
5930,2018-01-03,51380,51400,50780,8474250,51020
5930,2018-01-02,49560,50960,49500,8985450,50960
5930,2017-12-28,48960,49560,48460,10743600,49360
5930,2017-12-27,49760,50100,48200,16039850,48200
5930,2017-12-26,49400,49960,49240,11199650,49700
5930,2017-12-22,51000,51060,49100,15624300,49140
5930,2017-12-21,51500,51760,50820,10080550,50880
5930,2017-12-20,51540,52080,51520,11978600,51560
5930,2017-12-19,50620,51240,50620,7350250,51200
5930,2017-12-18,51240,51480,50520,14928550,50620
5930,2017-12-15,51320,52280,51060,20310400,51060
5930,2017-12-14,52100,52100,51100,11333700,51320
5930,2017-12-13,51820,52100,51660,8765050,52100
5930,2017-12-12,52000,52040,51500,8125850,51780
5930,2017-12-11,51360,52000,51040,11290450,52000
5930,2017-12-08,50040,50980,50020,11065600,50740
5930,2017-12-07,51260,51560,50020,10889200,50020
5930,2017-12-06,50600,51300,50280,9326550,51260
5930,2017-12-05,50840,51340,50020,14865050,51340
5930,2017-12-04,50800,51780,50800,12868600,50840
5930,2017-12-01,50800,51860,50200,29634150,50800
5930,2017-11-30,53200,53240,52500,9590250,52600
5930,2017-11-29,52700,53280,51720,13499400,53280
5930,2017-11-28,55360,55360,52640,18128900,52640
5930,2017-11-27,55300,55500,55180,4536200,55460
5930,2017-11-24,55960,55980,55020,6272900,55300
5930,2017-11-23,55980,56200,55620,7952950,55960
5930,2017-11-22,55400,55840,55280,10324700,55280
5930,2017-11-21,55900,55980,55200,9472750,55200
5930,2017-11-20,56400,56880,55820,10733150,55820
5930,2017-11-17,55440,56000,55400,7640700,55780
5930,2017-11-16,55920,56320,55320,8816950,55340
5930,2017-11-15,56380,56740,55920,6725000,55920
5930,2017-11-14,56400,56800,56100,8806650,56380
5930,2017-11-13,55800,56540,55780,6748800,56400
5930,2017-11-10,56920,56920,55900,11994050,56340
5930,2017-11-09,56100,57060,55860,8520200,56760
5930,2017-11-08,56380,56920,55860,7464550,56100
5930,2017-11-07,56380,56500,55340,9000950,56380
5930,2017-11-06,57060,57140,55860,9935800,56380
5930,2017-11-03,57500,57520,56760,10721050,57060
5930,2017-11-02,57500,57500,56180,14510250,57220
5930,2017-11-01,54060,55440,53500,13381550,55080
5930,2017-10-31,53780,54320,53700,8196150,54040
5930,2017-10-30,52400,53320,52140,7392500,53080
5930,2017-10-27,53720,53900,52400,9776550,52400
5930,2017-10-26,54040,54420,53700,5882850,53900
5930,2017-10-25,54700,54780,54040,5806050,54040
5930,2017-10-24,54600,54640,54000,8311050,54300
5930,2017-10-23,52800,54100,52800,8027050,53840
5930,2017-10-20,54700,54700,52980,12108700,52980
5930,2017-10-19,54820,55240,54040,10110750,54760
5930,2017-10-18,54020,55380,54000,10607800,54800
5930,2017-10-17,53980,54860,53760,9769950,53920
5930,2017-10-16,54540,54840,53780,12601650,54000
5930,2017-10-13,54840,55160,54100,13890700,54800
5930,2017-10-12,53600,54760,53340,13652150,54640
5930,2017-10-11,53360,53640,52800,20519800,52800
5930,2017-10-10,51180,51620,50840,12909400,51280
5930,2017-09-29,52260,52460,51260,12025450,51260
5930,2017-09-28,52000,52200,51500,10797000,51680
5930,2017-09-27,53020,53120,51560,17057200,51660
5930,2017-09-26,53000,53680,53000,9303100,53620
5930,2017-09-25,52960,53600,52460,13922400,53000
5930,2017-09-22,52220,52960,52220,8839800,52800
5930,2017-09-21,52120,52500,51840,9292750,52220
5930,2017-09-20,52500,52640,51780,9850400,52120
5930,2017-09-19,50540,52480,50520,11524950,52480
5930,2017-09-18,50300,50560,49860,10757300,50400
5930,2017-09-15,50060,50320,49760,14204750,50300
5930,2017-09-14,49820,50400,49440,9357000,49620
5930,2017-09-13,50200,50220,49140,12029750,49600
5930,2017-09-12,49700,50180,49500,10374750,49800
5930,2017-09-11,48700,49180,48580,10893000,49080
5930,2017-09-08,47000,48220,47000,9676500,48120
5930,2017-09-07,46760,47180,46700,10811050,47000
5930,2017-09-06,46240,46900,45960,11716100,46760
5930,2017-09-05,45780,46360,45500,7943500,46040
5930,2017-09-04,46460,46640,46300,10641700,46480
5930,2017-09-01,46220,46640,46000,11011700,46320
5930,2017-08-31,46380,46400,45960,7513000,46200
5930,2017-08-30,45640,46080,45160,12623650,46080
5930,2017-08-29,47020,47240,45960,9962100,46100
5930,2017-08-28,47880,47880,46720,11243550,47020
5930,2017-08-25,47520,47660,47340,8657450,47520
5930,2017-08-24,47780,47780,47180,9384700,47480
5930,2017-08-23,46820,47160,46700,7381750,47000
5930,2017-08-22,47240,47240,46580,5103450,46840
5930,2017-08-21,46760,47240,46240,10477950,46900
