feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(8,)",[0.62241795 0.63431175 0.62519053 0.6284787 ],0.6275997305814526,"('v10',)",0.007100271939367872,0.004429416495041644,0.0025573248057652615
"(8, 31)",[0.6492935  0.65000588 0.65029978 0.64718095],0.6491950285494446,"('v10', 'v50')",0.001954087255434875,0.00121903307308318,0.0007038090728956307
"(8, 18, 31)",[0.6712146  0.67748491 0.67866484 0.67491213],0.6755691199981676,"('v10', 'v23', 'v50')",0.004579531929122009,0.00285688413621927,0.0016494228250897671
"(8, 18, 27, 31)",[0.65202092 0.65199116 0.66344574 0.65456346],0.6555053191526505,"('v10', 'v23', 'v38', 'v50')",0.007536901702658636,0.004701802551838,0.002714586968980139
"(8, 18, 27, 31, 55)",[0.6637176  0.66972625 0.67345399 0.66977924],0.6691692721206546,"('v10', 'v23', 'v38', 'v50', 'v129')",0.005596786509757165,0.003491485776494358,0.002015810252930767
"(8, 18, 24, 27, 31, 55)",[0.66541868 0.66468164 0.6720054  0.66770843],0.6674535363548579,"('v10', 'v23', 'v34', 'v38', 'v50', 'v129')",0.004576816455801867,0.002855190121902805,0.001648444785468145
"(8, 18, 24, 27, 31, 40, 55)",[0.66697761 0.66638813 0.67654744 0.6623801 ],0.6680733185489516,"('v10', 'v23', 'v34', 'v38', 'v50', 'v72', 'v129')",0.008339505083390705,0.005202496706082932,0.003003662873715122
"(8, 18, 24, 27, 31, 37, 40, 55)",[0.66906598 0.66622426 0.67355026 0.66701716],0.6689644155398942,"('v10', 'v23', 'v34', 'v38', 'v50', 'v62', 'v72', 'v129')",0.004557976716287148,0.00284343718431374,0.0016416592237873291
"(8, 18, 24, 27, 28, 31, 37, 40, 55)",[0.66138113 0.66292487 0.66339014 0.65994311],0.6619098115270952,"('v10', 'v23', 'v34', 'v38', 'v39', 'v50', 'v62', 'v72', 'v129')",0.002175740489122807,0.0013573086909553676,0.0007836425380965001
"(8, 16, 18, 24, 27, 28, 31, 37, 40, 55)",[0.664138   0.66413536 0.66247279 0.65823546],0.6622454012911477,"('v10', 'v19', 'v23', 'v34', 'v38', 'v39', 'v50', 'v62', 'v72', 'v129')",0.003867573877862341,0.0024127379453470327,0.0013929949022301337
"(8, 13, 16, 18, 24, 27, 28, 31, 37, 40, 55)",[0.66070375 0.66318303 0.66683071 0.66140133],0.663029705919205,"('v10', 'v16', 'v19', 'v23', 'v34', 'v38', 'v39', 'v50', 'v62', 'v72', 'v129')",0.003804578538203619,0.002373439084827623,0.0013703056945304072
"(8, 12, 13, 16, 18, 24, 27, 28, 31, 37, 40, 55)",[0.66072375 0.66519115 0.66547709 0.66735983],0.6646879555581557,"('v10', 'v15', 'v16', 'v19', 'v23', 'v34', 'v38', 'v39', 'v50', 'v62', 'v72', 'v129')",0.0039043187916544776,0.002435660803605087,0.0014062294206160172
"(8, 12, 13, 16, 18, 24, 27, 28, 31, 37, 40, 46, 55)",[0.66859006 0.6631898  0.66332017 0.66427507],0.6648437723746914,"('v10', 'v15', 'v16', 'v19', 'v23', 'v34', 'v38', 'v39', 'v50', 'v62', 'v72', 'v92', 'v129')",0.003531574914242039,0.0022031291635305483,0.0012719772156238771
"(8, 12, 13, 15, 16, 18, 24, 27, 28, 31, 37, 40, 46, 55)",[0.66238709 0.66246005 0.66664381 0.66681835],0.6645773246395431,"('v10', 'v15', 'v16', 'v18', 'v19', 'v23', 'v34', 'v38', 'v39', 'v50', 'v62', 'v72', 'v92', 'v129')",0.0034540958675884463,0.0021547948222267028,0.0012440713706609987
"(7, 8, 12, 13, 15, 16, 18, 24, 27, 28, 31, 37, 40, 46, 55)",[0.66537589 0.66787288 0.66298808 0.66483639],0.6652683081296757,"('v9', 'v10', 'v15', 'v16', 'v18', 'v19', 'v23', 'v34', 'v38', 'v39', 'v50', 'v62', 'v72', 'v92', 'v129')",0.0027973487879793,0.0017450913105397738,0.0010075289379006152
