feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",[0.61626126 0.6081014  0.61254249 0.60272776],0.6099082241217646,"('v1', 'v2', 'v4', 'v5', 'v6', 'v7', 'v8', 'v9', 'v10', 'v11', 'v12', 'v13', 'v14', 'v15', 'v16', 'v17', 'v18', 'v19', 'v20', 'v21', 'v23', 'v25', 'v26', 'v27', 'v28', 'v29')",0.00809958250321203,0.0050528239832279,0.002917249286884425
"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",[0.61690521 0.62716765 0.62040047 0.61247656],0.6192374741735537,"('v1', 'v4', 'v5', 'v6', 'v7', 'v8', 'v9', 'v10', 'v11', 'v12', 'v13', 'v14', 'v15', 'v16', 'v17', 'v18', 'v19', 'v20', 'v21', 'v23', 'v25', 'v26', 'v27', 'v28', 'v29')",0.00860957917988299,0.005370979078040209,0.0031009362165183626
"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25)",[0.61378662 0.63240415 0.62555997 0.60842559],0.6200440821321878,"('v1', 'v4', 'v5', 'v6', 'v7', 'v8', 'v9', 'v10', 'v11', 'v12', 'v13', 'v14', 'v15', 'v16', 'v17', 'v18', 'v19', 'v20', 'v21', 'v23', 'v26', 'v27', 'v28', 'v29')",0.015150961611808908,0.009451739292828243,0.005456964225024549
"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24)",[0.60143933 0.64449403 0.61532547 0.61241625],0.618418770715672,"('v1', 'v4', 'v5', 'v6', 'v7', 'v8', 'v9', 'v10', 'v11', 'v12', 'v13', 'v14', 'v15', 'v16', 'v17', 'v18', 'v19', 'v20', 'v21', 'v23', 'v26', 'v27', 'v28')",0.025519884137630185,0.015920262873880063,0.00919156805580426
"(0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24)",[0.6018792  0.64061461 0.61963812 0.62826868],0.622600150733771,"('v1', 'v4', 'v5', 'v6', 'v7', 'v8', 'v9', 'v10', 'v12', 'v13', 'v14', 'v15', 'v16', 'v17', 'v18', 'v19', 'v20', 'v21', 'v23', 'v26', 'v27', 'v28')",0.02259556210939701,0.014095960883860387,0.00813830681078323
"(0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 22, 23, 24)",[0.61797916 0.6360943  0.61232238 0.62199146],0.622096824641837,"('v1', 'v4', 'v5', 'v6', 'v7', 'v8', 'v9', 'v10', 'v12', 'v13', 'v14', 'v15', 'v16', 'v17', 'v18', 'v19', 'v21', 'v23', 'v26', 'v27', 'v28')",0.014076039263074889,0.008781162331406217,0.005069806435835182
"(0, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 22, 23, 24)",[0.60838845 0.63480826 0.63422222 0.62000013],0.624354764740836,"('v1', 'v4', 'v5', 'v6', 'v8', 'v9', 'v10', 'v12', 'v13', 'v14', 'v15', 'v16', 'v17', 'v18', 'v19', 'v21', 'v23', 'v26', 'v27', 'v28')",0.017569440784710566,0.01096047749790592,0.006328034633862818
"(0, 2, 3, 4, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 19, 20, 22, 23, 24)",[0.61435886 0.64055345 0.62605793 0.60223525],0.6208013711185373,"('v1', 'v4', 'v5', 'v6', 'v8', 'v9', 'v10', 'v12', 'v14', 'v15', 'v16', 'v17', 'v18', 'v19', 'v21', 'v23', 'v26', 'v27', 'v28')",0.022725941104969477,0.014177296201511204,0.008185265778323552
"(0, 2, 3, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 19, 20, 22, 23, 24)",[0.61581236 0.6334694  0.63112986 0.62566338],0.6265187517717351,"('v1', 'v4', 'v5', 'v8', 'v9', 'v10', 'v12', 'v14', 'v15', 'v16', 'v17', 'v18', 'v19', 'v21', 'v23', 'v26', 'v27', 'v28')",0.010899459425213167,0.0067994924387888254,0.003925688789887553
"(0, 2, 3, 6, 7, 8, 10, 12, 14, 15, 16, 17, 19, 20, 22, 23, 24)",[0.60655232 0.64497785 0.62354803 0.62465247],0.6249326655482021,"('v1', 'v4', 'v5', 'v8', 'v9', 'v10', 'v12', 'v14', 'v16', 'v17', 'v18', 'v19', 'v21', 'v23', 'v26', 'v27', 'v28')",0.021827081297602555,0.013616553670594075,0.007861520927152477
"(0, 2, 3, 6, 7, 8, 10, 12, 14, 15, 16, 17, 19, 22, 23, 24)",[0.61821357 0.63258166 0.63080703 0.62030814],0.6254776018611395,"('v1', 'v4', 'v5', 'v8', 'v9', 'v10', 'v12', 'v14', 'v16', 'v17', 'v18', 'v19', 'v21', 'v26', 'v27', 'v28')",0.01008605159752699,0.006292058064455564,0.0036327214172701757
"(0, 3, 6, 7, 8, 10, 12, 14, 15, 16, 17, 19, 22, 23, 24)",[0.61570657 0.63562428 0.62944399 0.61245305],0.6233069708236114,"('v1', 'v5', 'v8', 'v9', 'v10', 'v12', 'v14', 'v16', 'v17', 'v18', 'v19', 'v21', 'v26', 'v27', 'v28')",0.01531146708512845,0.009551868639582437,0.005514773930326865
